id,municipio,poblacion_total,poblacion_mayores,porcentaje_mayores
46044,Ayora,5187,1233,23.77
46045,Barxeta,1576,370,23.48
46046,Barx,1400,400,28.57
46047,Bèlgida,639,152,23.789999999999999
46048,Bellreguard,4713,896,19.010000000000002
46049,Bellús,301,76,25.25
46050,Benagéber,170,58,34.119999999999997
46051,Benaguasil,11568,2137,18.469999999999999
46052,Benavites,667,155,23.239999999999998
46053,Beneixida,652,125,19.170000000000002
46054,Benetússer,15493,3001,19.370000000000001
46055,Beniarjó,1791,288,16.079999999999998
46056,Beniatjar,207,61,29.469999999999999
46057,Benicolet,597,190,31.829999999999998
46058,Benifairó de les Valls,2314,475,20.530000000000001
46059,Benifairó de la Valldigna,1552,381,24.550000000000001
46060,Benifaió,11877,2556,21.52
46061,Beniflá,475,50,10.529999999999999
46062,Benigànim,5718,1150,20.109999999999999
46063,Benimodo,2233,412,18.449999999999999
46064,Benimuslem,662,124,18.73
46065,Beniparrell,2020,361,17.870000000000001
46066,Benirredrà,1548,407,26.289999999999999
46067,Benissanó,2345,444,18.93
46068,Benissoda,456,79,17.32
46069,Benissuera,188,60,31.91
46070,Bétera,26289,3917,14.9
46071,Bicorp,524,186,35.5
46072,Bocairent,4123,1028,24.93
46073,Bolbaite,1338,351,26.23
46074,Bonrepòs i Mirambell,3831,554,14.460000000000001
46075,Bufali,156,41,26.280000000000001
46076,Bugarra,747,226,30.25
46077,Buñol,9503,2210,23.260000000000002
46078,Burjassot,38880,7170,18.440000000000001
46079,Calles,374,124,33.159999999999997
46080,Camporrobles,1196,340,28.43
46081,Canals,13187,2658,20.16
46082,Canet d&apos;En Berenguer,6942,1259,18.140000000000001
46083,Carcaixent,20498,3905,19.050000000000001
46084,Càrcer,1808,402,22.23
46085,Carlet,15945,2997,18.800000000000001
46086,Carrícola,99,26,26.260000000000002
46087,Casas Altas,132,47,35.609999999999999
46088,Casas Bajas,171,59,34.5
46089,Casinos,2994,622,20.77
46090,Castelló de Rugat,2315,443,19.140000000000001
46091,Castellonet de la Conquesta,137,39,28.469999999999999
46092,Castielfabib,291,93,31.960000000000001
46093,Catadau,2862,563,19.670000000000002
46094,Catarroja,28679,4700,16.390000000000001
46095,Caudete de las Fuentes,701,223,31.809999999999999
46096,Cerdà,351,64,18.23
46097,Cofrentes,1112,302,27.16
46098,Corbera,3097,674,21.760000000000002
46099,Cortes de Pallás,733,281,38.340000000000003
46100,Cotes,323,82,25.390000000000001
46101,Quart de les Valls,1049,258,24.59
46102,Quart de Poblet,25167,5528,21.969999999999999
46103,Quartell,1683,473,28.100000000000001
46104,Quatretonda,2143,592,27.620000000000001
46105,Cullera,22937,5049,22.010000000000002
46106,Chelva,1597,489,30.620000000000001
46107,Chella,2434,572,23.5
46108,Chera,492,165,33.539999999999999
46109,Cheste,8971,1747,19.469999999999999
46110,Xirivella,30326,5484,18.079999999999998
46111,Chiva,16285,2474,15.19
46112,Chulilla,692,193,27.890000000000001
46113,Daimús,3274,685,20.920000000000002
46114,Domeño,656,141,21.489999999999998
46115,Dos Aguas,325,85,26.149999999999999
46116,"Eliana, l&apos;",18544,3718,20.050000000000001
46117,Emperador,705,83,11.77
46118,Enguera,4770,1074,22.52
46119,"Énova, l&apos;",908,257,28.300000000000001
46120,Estivella,1559,372,23.859999999999999
46121,Estubeny,109,33,30.280000000000001
46122,Faura,3568,756,21.190000000000001
46123,Favara,2578,539,20.91
46124,Fontanars dels Alforins,953,203,21.300000000000001
46125,Fortaleny,1026,224,21.829999999999998
46126,Foios,7496,1413,18.850000000000001
46127,"Font d&apos;En Carròs, la",3857,788,20.43
46128,"Font de la Figuera, la",2024,470,23.219999999999999
46129,Fuenterrobles,690,152,22.030000000000001
46130,Gavarda,1053,238,22.600000000000001
46131,Gandia,75911,14164,18.66
46132,"Genovés, el",2780,528,18.989999999999998
46133,Gestalgar,547,178,32.539999999999999
46134,Gilet,3601,524,14.550000000000001
46135,Godella,13050,2744,21.030000000000001
46136,Godelleta,3942,691,17.530000000000001
46137,"Granja de la Costera, la",276,70,25.359999999999999
46138,Guadasséquies,475,94,19.789999999999999
46139,Guadassuar,5910,1318,22.300000000000001
46140,Guardamar de la Safor,567,73,12.869999999999999
46141,Higueruelas,510,147,28.82
46142,Jalance,788,300,38.07
46143,Xeraco,5819,1112,19.109999999999999
46144,Jarafuel,777,261,33.590000000000003
46145,Xàtiva,29637,5553,18.739999999999998
46146,Xeresa,2244,423,18.850000000000001
46147,Llíria,24036,4506,18.75
46148,Loriguilla,2100,283,13.48
46149,Losa del Obispo,527,122,23.149999999999999
46150,Llutxent,2318,471,20.32
46151,Llocnou d&apos;En Fenollet,924,191,20.670000000000002
46152,Llocnou de la Corona,109,20,18.350000000000001
46153,Llocnou de Sant Jeroni,577,148,25.649999999999999
46154,Llanera de Ranes,1066,210,19.699999999999999
46155,Llaurí,1193,341,28.579999999999998
46156,Llombai,2648,511,19.300000000000001
46157,"Llosa de Ranes, la",3652,759,20.780000000000001
46158,Macastre,1387,304,21.920000000000002
46159,Manises,31170,5500,17.649999999999999
46160,Manuel,2496,525,21.030000000000001
46161,Marines,1942,349,17.969999999999999
46162,Massalavés,1696,330,19.460000000000001
46163,Massalfassar,2587,368,14.220000000000001
46164,Massamagrell,16223,2877,17.73
46165,Massanassa,9929,1820,18.329999999999998
46166,Meliana,10881,2034,18.690000000000001
46167,Millares,339,103,30.379999999999999
46168,Miramar,2831,573,20.239999999999998
46169,Mislata,44282,8755,19.77
46170,Mogente/Moixent,4365,926,21.210000000000001
46171,Moncada,21913,4204,19.18
46172,Montserrat,9017,1154,12.800000000000001
46173,Montaverner,1627,335,20.59
46174,Montesa,1152,243,21.09
46175,Montitxelvo/Montichelvo,571,139,24.34
46176,Montroi/Montroy,3185,554,17.390000000000001
46177,Museros,6663,1072,16.09
46178,Nàquera/Náquera,7728,908,11.75
46179,Navarrés,2989,687,22.98
46180,Novelé/Novetlè,861,158,18.350000000000001
46181,Oliva,25179,5373,21.34
46182,Olocau,2148,377,17.550000000000001
46183,"Olleria, l&apos;",8355,1653,19.780000000000001
46184,Ontinyent,35946,6947,19.329999999999998
46185,Otos,428,126,29.440000000000001
46186,Paiporta,26567,4021,15.140000000000001
46187,Palma de Gandía,1686,414,24.559999999999999
46188,Palmera,1040,147,14.130000000000001
46189,"Palomar, el",566,115,20.32
46190,Paterna,71880,10550,14.68
46191,Pedralba,2966,669,22.559999999999999
